# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_MODIFIER	variants_effect_DOWNSTREAM	variants_effect_INTRON	variants_effect_UPSTREAM	variants_effect_UTR_3_PRIME
Gs1	FBgn0001142	FBtr0078115	protein_coding	2	2	0	0	0
Gs1	FBgn0001142	FBtr0300568	protein_coding	2	2	0	0	0
Ir21a	FBgn0031209	FBtr0113008	protein_coding	2	0	0	2	0
ND-15	FBgn0031228	FBtr0306542	protein_coding	4	0	2	2	0
ND-15	FBgn0031228	FBtr0330638	protein_coding	4	0	2	2	0
ND-15	FBgn0031228	FBtr0330639	protein_coding	4	0	2	2	0
Sam-S	FBgn0005278	FBtr0089428	protein_coding	2	0	2	0	0
Sam-S	FBgn0005278	FBtr0089429	protein_coding	2	0	2	0	0
Sam-S	FBgn0005278	FBtr0089430	protein_coding	2	0	2	0	0
Sam-S	FBgn0005278	FBtr0089431	protein_coding	2	0	2	0	0
Sam-S	FBgn0005278	FBtr0089432	protein_coding	2	0	2	0	0
Sam-S	FBgn0005278	FBtr0089433	protein_coding	2	0	2	0	0
Sam-S	FBgn0005278	FBtr0089434	protein_coding	2	0	2	0	0
Sam-S	FBgn0005278	FBtr0089435	protein_coding	2	0	2	0	0
Sam-S	FBgn0005278	FBtr0089436	protein_coding	2	0	2	0	0
Sam-S	FBgn0005278	FBtr0089437	protein_coding	2	0	2	0	0
Sam-S	FBgn0005278	FBtr0308091	protein_coding	2	2	0	0	0
Sam-S	FBgn0005278	FBtr0330656	protein_coding	2	0	2	0	0
asRNA:CR43609	FBgn0263584	FBtr0309810	lincRNA	2	2	0	0	0
l(2)gl	FBgn0002121	FBtr0078166	protein_coding	24	22	0	2	0
l(2)gl	FBgn0002121	FBtr0078167	protein_coding	24	22	0	2	0
l(2)gl	FBgn0002121	FBtr0078168	protein_coding	24	22	0	2	0
l(2)gl	FBgn0002121	FBtr0078169	protein_coding	24	22	0	2	0
l(2)gl	FBgn0002121	FBtr0078170	protein_coding	22	22	0	0	0
l(2)gl	FBgn0002121	FBtr0078171	protein_coding	22	22	0	0	0
l(2)gl	FBgn0002121	FBtr0306589	protein_coding	24	22	0	2	0
l(2)gl	FBgn0002121	FBtr0306590	protein_coding	24	22	0	2	0
l(2)gl	FBgn0002121	FBtr0306591	protein_coding	24	22	0	2	0
l(2)gl	FBgn0002121	FBtr0306592	protein_coding	24	22	0	2	0
l(2)gl	FBgn0002121	FBtr0330655	protein_coding	24	22	0	2	0
lncRNA:CR44185	FBgn0265074	FBtr0336836	lincRNA	2	2	0	0	0
lncRNA:CR44186	FBgn0265075	FBtr0336837	lincRNA	2	2	0	0	0
lncRNA:CR44219	FBgn0265150	FBtr0336988	lincRNA	3	0	0	3	0
net	FBgn0002931	FBtr0290323	protein_coding	2	0	2	0	0
net	FBgn0002931	FBtr0330637	protein_coding	2	0	2	0	0
ovm	FBgn0051976	FBtr0302194	protein_coding	2	2	0	0	0
ovm	FBgn0051976	FBtr0346127	protein_coding	2	2	0	0	0
